day,n_posts,engagement_sum,is_spike,volume_robust_z,volume_z,trust_integrity,launch_model,developer_tooling,comparison,pricing_ops,workflow_agent
2024-03-04,1,1699.0,False,-0.67449999966275,-0.38127383035911944,0,1,0,0,0,0
2024-10-22,1,2189.0,False,-0.67449999966275,-0.38127383035911944,0,1,0,0,0,0
2025-02-24,1,3090.0,False,-0.67449999966275,-0.38127383035911944,0,1,1,0,0,0
2025-03-20,1,1959.0,False,-0.67449999966275,-0.38127383035911944,0,0,0,0,0,0
2025-04-04,288,3297223.0,True,96.11624995194187,5.0003125292999275,0,16,0,50,11,5
2025-05-04,14,170143.0,True,3.7097499981451247,-0.13750859455574796,0,0,0,0,0,0
2025-06-04,17,194615.0,True,4.72149999763925,-0.0812550786011238,0,1,0,5,0,0
2025-07-04,7,85106.0,False,1.3489999993255,-0.26876679844987106,0,0,0,0,0,0
2025-08-04,9,109379.0,True,2.0234999989882496,-0.2312644544801216,0,1,1,1,0,0
2025-08-12,1,2016.0,False,-0.67449999966275,-0.38127383035911944,0,1,0,0,0,0
2025-09-04,24,291658.0,True,7.0822499964588745,0.050003125292999294,0,0,0,2,0,0
2025-09-07,1,1247.0,False,-0.67449999966275,-0.38127383035911944,0,0,1,0,0,0
2025-09-29,1,2371.0,False,-0.67449999966275,-0.38127383035911944,0,1,0,0,0,0
2025-10-04,4,48610.0,False,0.337249999831375,-0.32502031440449525,0,0,0,0,0,0
2025-11-04,208,1799557.0,True,69.13624996543187,3.5002187705099486,0,4,9,39,3,6
2025-11-24,1,1619.0,False,-0.67449999966275,-0.38127383035911944,0,1,0,0,0,0
2025-12-04,86,1398916.0,True,27.991749986004123,1.2125757883552324,0,2,7,9,3,11
2026-01-04,93,1808434.0,True,30.352499984823748,1.3438339922493554,0,1,5,5,2,2
2026-01-12,1,1863.0,False,-0.67449999966275,-0.38127383035911944,0,0,1,0,0,0
2026-01-26,1,1761.0,False,-0.67449999966275,-0.38127383035911944,0,0,0,0,0,0
2026-02-04,47,694594.0,True,14.838999992580499,0.481280080945118,0,0,6,5,2,3
2026-02-11,1,1786.0,False,-0.67449999966275,-0.38127383035911944,1,0,1,0,0,0
2026-02-12,1,1307.0,False,-0.67449999966275,-0.38127383035911944,0,0,1,0,0,0
2026-02-17,1,2572.0,False,-0.67449999966275,-0.38127383035911944,0,1,0,0,0,0
2026-02-22,1,1567.0,False,-0.67449999966275,-0.38127383035911944,0,0,1,0,0,0
2026-03-04,37,322294.0,True,11.46649999426675,0.2937683610963707,0,1,2,7,1,2
2026-03-07,5,70472.0,False,0.67449999966275,-0.3062691424196205,0,0,1,0,0,0
2026-03-13,2,30.0,False,-0.337249999831375,-0.3625226583742447,0,1,0,1,0,2
2026-03-14,11,161247.0,True,2.697999998651,-0.19376211051037215,0,0,1,0,0,1
2026-03-19,1,18.0,False,-0.67449999966275,-0.38127383035911944,0,1,0,1,0,1
2026-03-21,7,82646.0,False,1.3489999993255,-0.26876679844987106,0,0,0,1,0,0
2026-03-22,4,45879.0,False,0.337249999831375,-0.32502031440449525,0,1,0,0,0,0
2026-03-23,2,12196.0,False,-0.337249999831375,-0.3625226583742447,0,0,0,0,0,0
2026-03-24,2,13274.0,False,-0.337249999831375,-0.3625226583742447,0,0,1,0,0,0
2026-03-25,3,24609.0,False,0.0,-0.34377148638936994,0,0,0,0,0,0
2026-03-26,2,2238.0,False,-0.337249999831375,-0.3625226583742447,0,0,0,1,0,0
2026-03-27,3,23659.0,False,0.0,-0.34377148638936994,0,2,0,2,0,0
2026-03-28,4,2292.0,False,0.337249999831375,-0.32502031440449525,0,1,0,1,1,0
2026-03-29,3,23595.0,False,0.0,-0.34377148638936994,1,1,0,1,1,0
2026-03-30,2,2238.0,False,-0.337249999831375,-0.3625226583742447,0,0,0,0,0,0
2026-03-31,6,6184.0,False,1.0117499994941248,-0.2875179704347458,2,1,3,3,0,0
2026-04-01,6,46269.0,False,1.0117499994941248,-0.2875179704347458,3,2,3,0,0,3
2026-04-02,5,23684.0,False,0.67449999966275,-0.3062691424196205,2,0,4,1,0,3
2026-04-03,16,3588.0,True,4.384249997807874,-0.10000625058599852,1,4,4,6,3,5
2026-04-04,28,268.0,True,8.431249995784375,0.1250078132324982,2,8,14,5,7,12
