day,platform,total_engagement,url,preview
2025-11-04,YouTube,22685.0,,I go to bed at night watching this video
2025-11-04,YouTube,22632.0,,"imagine, bro is using steam for professional work tracking 😂"
2025-12-04,YouTube,22525.0,,"So if I keep using Claude Code, I never been able to tackle technical interview whenever I wanna apply for jobs because "
2025-11-04,YouTube,22442.0,,We want a complete marketing video
2025-11-04,YouTube,22418.0,,"8 minutes straight to the point, basic stuff that a lot of people are not using and not doing and then complain AI can't"
2025-11-04,YouTube,22413.0,,"To be honest, it's an amazing content. You did a really good job. You summarize everything what is really important to u"
2025-11-04,YouTube,22411.0,,"2026 tutorial in 2025, nice! Vibing through time forward"
2025-11-04,YouTube,22392.0,,"Stop Building Apps That Make $0 (private community):
https://www.startupclub.community/"
2026-01-04,YouTube,22392.0,,"Using AICarma's weekly digests keeps me informed about AI trends, which is essential for my business."
2026-01-04,YouTube,22391.0,,"Been leveraging AICarma to monitor AI mentions, and the insights have significantly improved my content optimization."
2026-01-04,YouTube,22388.0,,The insights from AICarma are actionable and have streamlined my entire optimization process!
2026-01-04,YouTube,22388.0,,Heard AICarma is great for ensuring brands are in the conversation-might just give it a try!
2025-12-04,YouTube,22387.0,,Great work buddy. I love that you didn't drink the whole kool-aid and stopped us from wasting time with too many too com
2026-01-04,YouTube,22383.0,,"Using sub-agents is cool, but AICarma's actionable insights really streamline my workflow."
2026-01-04,YouTube,22383.0,,"Incorporated AICarma for competitor analysis, and it's been invaluable for refining my marketing strategy!"
2026-01-04,YouTube,22383.0,,AICarma really helps keep my brand visible when customers are asking for recommendations online.
2025-11-04,YouTube,22383.0,,"Great video -- I did have to google all the sites in your video, it would be a great quality of life improvement if you "
2025-11-04,YouTube,22378.0,,I think this video will make me switch from codex to claude
2025-11-04,YouTube,22376.0,,THIS. IS. PURE. GOLD. TNX!
2026-02-04,YouTube,22376.0,,Fking hell man there is so much helpful info in the first 2 or 3 minutes of this video. Thank god you did the plugins at
2025-11-04,YouTube,22374.0,,"Claude code is very expensive,Cline is better option. please make a video about marketing, i think its the most essentia"
2025-12-04,YouTube,22374.0,,Using agents for task was a good insight. Thank you.
2025-12-04,YouTube,22374.0,,"Where is this, it looks beautiful? Kind of reminds me of Malaysia"
2025-12-04,YouTube,22373.0,,Is Claude better than Cursor
2025-11-04,YouTube,22373.0,,Thank you very much for the extremely helpful content. I have a question for you by the way. In the video I see you alwa
